dropout,dense_units,learning_rate,trial_id,val_accuracy
0.30000000000000004,256,0.001,00,0.8216783404350281
0.2,128,0.001,11,0.8129370808601379
0.30000000000000004,192,0.001,27,0.808857798576355
0.4,128,0.001,24,0.7995337843894958
0.30000000000000004,128,0.001,04,0.7983682751655579
0.4,256,0.001,05,0.7977855205535889
0.2,256,0.001,06,0.7954545617103577
0.2,64,0.001,16,0.7727272510528564
0.4,64,0.001,12,0.7680652737617493
0.30000000000000004,64,0.001,19,0.750582754611969
0.2,256,0.0001,14,0.7045454382896423
0.4,256,0.0001,08,0.6987179517745972
0.30000000000000004,128,0.01,17,0.689976692199707
0.30000000000000004,192,0.0001,23,0.6812354326248169
0.2,192,0.0001,25,0.6754079461097717
0.2,128,0.01,03,0.6736596822738647
0.30000000000000004,192,0.01,13,0.6713286638259888
0.2,192,0.01,20,0.6713286638259888
0.2,256,0.01,15,0.6672494411468506
0.4,192,0.01,07,0.6666666865348816
0.2,128,0.0001,26,0.6631701588630676
0.4,128,0.01,10,0.6567599177360535
0.30000000000000004,64,0.01,21,0.6497669219970703
0.4,192,0.0001,18,0.6480186581611633
0.2,64,0.01,09,0.6427738666534424
0.30000000000000004,128,0.0001,22,0.6392773985862732
0.4,64,0.0001,02,0.6305361390113831
0.4,64,0.01,01,0.6025640964508057
