dropout,dense_units,learning_rate,trial_id,val_accuracy
0.4,192,0.001,20,0.8706293702125549
0.30000000000000004,256,0.001,23,0.8700466156005859
0.30000000000000004,192,0.001,06,0.8519813418388367
0.4,256,0.001,09,0.8496503233909607
0.30000000000000004,64,0.001,14,0.8432400822639465
0.2,64,0.001,13,0.8420745730400085
0.4,128,0.001,25,0.8409090638160706
0.2,128,0.01,00,0.7919580340385437
0.30000000000000004,256,0.0001,10,0.7604895234107971
0.30000000000000004,256,0.01,17,0.750582754611969
0.2,256,0.01,27,0.7360140085220337
0.2,256,0.0001,16,0.7342657446861267
0.4,256,0.0001,04,0.7313519716262817
0.4,192,0.01,05,0.7290209531784058
0.30000000000000004,128,0.01,02,0.7284382581710815
0.2,192,0.0001,26,0.7272727489471436
0.30000000000000004,192,0.0001,15,0.7261072397232056
0.4,256,0.01,07,0.7080419659614563
0.4,128,0.0001,24,0.7057109475135803
0.4,128,0.01,08,0.6998834609985352
0.2,128,0.0001,19,0.6993007063865662
0.4,192,0.0001,12,0.6958041787147522
0.30000000000000004,64,0.01,03,0.6812354326248169
0.2,64,0.0001,18,0.6748251914978027
0.4,64,0.0001,22,0.6707459092140198
0.4,64,0.01,21,0.6672494411468506
0.30000000000000004,64,0.0001,01,0.6468531489372253
0.2,64,0.01,11,0.6025640964508057
